SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
586,TG,Telangana,TG_Telangana,Vikarabad,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
587,TG,Telangana,TG_Telangana,Wanaparthy,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
588,TG,Telangana,TG_Telangana,Warangal Rural,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
589,TG,Telangana,TG_Telangana,Warangal Urban,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
590,TG,Telangana,TG_Telangana,Yadadri Bhuvanagiri,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
591,TR,Tripura,TR_Tripura,Dhalai,8439,13,8386,40,2,1,1,0,0,2 cases were recorded as patient went out of state,2022-02-15 12:43:55.642502
592,TR,Tripura,TR_Tripura,Gomati,9374,28,9259,87,4,2,0,2,0,4 cases were recorded as patient went out of state,2022-02-15 12:43:55.642502
593,TR,Tripura,TR_Tripura,Khowai,5138,2,5080,56,0,0,0,0,0,0 cases were recorded as patient went out of state,2022-02-15 12:43:55.642502
594,TR,Tripura,TR_Tripura,North Tripura,8792,33,8721,38,7,1,1,0,0,7 cases were recorded as patient went out of state,2022-02-15 12:43:55.642502
595,TR,Tripura,TR_Tripura,Sipahijala,7253,17,7149,87,2,1,-4,5,0,2 cases were recorded as patient went out of state,2022-02-15 12:43:55.642502
596,TR,Tripura,TR_Tripura,South Tripura,11842,15,11770,57,3,0,-3,3,0,3 cases were recorded as patient went out of state,2022-02-15 12:43:55.642502
597,TR,Tripura,TR_Tripura,Unokoti,10053,17,9962,74,4,1,0,1,0,4 cases were recorded as patient went out of state,2022-02-15 12:43:55.642502
598,TR,Tripura,TR_Tripura,West Tripura,39909,91,39341,477,43,3,-1,4,0,43 cases were recorded as patient went out of state,2022-02-15 12:43:55.642502
599,UT,Uttarakhand,UT_Uttarakhand,Almora,16541,1173,15168,200,985,114,6,108,0,985 cases were recorded as Migrated / Others,2022-02-15T12:46:56.233164+05:30
600,UT,Uttarakhand,UT_Uttarakhand,Bageshwar,7812,151,7600,61,105,21,9,12,0,105 cases were recorded as Migrated / Others,2022-02-15T12:46:56.233164+05:30
601,UT,Uttarakhand,UT_Uttarakhand,Chamoli,15243,616,14562,65,303,95,-100,195,0,303 cases were recorded as Migrated / Others,2022-02-15T12:46:56.233164+05:30
602,UT,Uttarakhand,UT_Uttarakhand,Champawat,9475,859,8562,54,209,33,-11,44,0,209 cases were recorded as Migrated / Others,2022-02-15T12:46:56.233164+05:30
603,UT,Uttarakhand,UT_Uttarakhand,Dehradun,144347,3862,136815,3670,948,518,-1017,1523,12,948 cases were recorded as Migrated / Others,2022-02-15T12:46:56.233164+05:30
604,UT,Uttarakhand,UT_Uttarakhand,Haridwar,64132,1983,61103,1046,1612,183,29,152,2,1612 cases were recorded as Migrated / Others,2022-02-15T12:46:56.233164+05:30
605,UT,Uttarakhand,UT_Uttarakhand,Nainital,50430,308,49146,976,179,71,-7,77,1,179 cases were recorded as Migrated / Others,2022-02-15T12:46:56.233164+05:30
606,UT,Uttarakhand,UT_Uttarakhand,Pauri Garhwal,22810,2681,19799,330,1677,93,-210,303,0,1677 cases were recorded as Migrated / Others,2022-02-15T12:46:56.233164+05:30
607,UT,Uttarakhand,UT_Uttarakhand,Pithoragarh,12745,411,12148,186,239,96,-2,98,0,239 cases were recorded as Migrated / Others,2022-02-15T12:46:56.233164+05:30
608,UT,Uttarakhand,UT_Uttarakhand,Rudraprayag,11413,498,10808,107,281,21,-21,42,0,281 cases were recorded as Migrated / Others,2022-02-15T12:46:56.233164+05:30
609,UT,Uttarakhand,UT_Uttarakhand,Tehri Garhwal,18104,1283,16706,115,1198,41,15,23,3,1198 cases were recorded as Migrated / Others,2022-02-15T12:46:56.233164+05:30
610,UT,Uttarakhand,UT_Uttarakhand,Udham Singh Nagar,46597,1204,44627,766,1068,58,58,0,0,1068 cases were recorded as Migrated / Others,2022-02-15T12:46:56.233164+05:30
611,UT,Uttarakhand,UT_Uttarakhand,Uttarkashi,14119,550,13492,77,500,60,-4,64,0,500 cases were recorded as Migrated / Others,2022-02-15T12:46:56.233164+05:30
612,UP,Uttar Pradesh,UP_Uttar Pradesh,Agra,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
613,UP,Uttar Pradesh,UP_Uttar Pradesh,Aligarh,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
614,UP,Uttar Pradesh,UP_Uttar Pradesh,Ambedkar Nagar,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
615,UP,Uttar Pradesh,UP_Uttar Pradesh,Amethi,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
616,UP,Uttar Pradesh,UP_Uttar Pradesh,Amroha,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
617,UP,Uttar Pradesh,UP_Uttar Pradesh,Auraiya,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
618,UP,Uttar Pradesh,UP_Uttar Pradesh,Ayodhya,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
619,UP,Uttar Pradesh,UP_Uttar Pradesh,Azamgarh,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
620,UP,Uttar Pradesh,UP_Uttar Pradesh,Baghpat,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
621,UP,Uttar Pradesh,UP_Uttar Pradesh,Bahraich,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
622,UP,Uttar Pradesh,UP_Uttar Pradesh,Ballia,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
623,UP,Uttar Pradesh,UP_Uttar Pradesh,Balrampur,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
624,UP,Uttar Pradesh,UP_Uttar Pradesh,Banda,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
625,UP,Uttar Pradesh,UP_Uttar Pradesh,Barabanki,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
626,UP,Uttar Pradesh,UP_Uttar Pradesh,Bareilly,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
627,UP,Uttar Pradesh,UP_Uttar Pradesh,Basti,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
628,UP,Uttar Pradesh,UP_Uttar Pradesh,Bhadohi,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
629,UP,Uttar Pradesh,UP_Uttar Pradesh,Bijnor,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
630,UP,Uttar Pradesh,UP_Uttar Pradesh,Budaun,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
631,UP,Uttar Pradesh,UP_Uttar Pradesh,Bulandshahr,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
632,UP,Uttar Pradesh,UP_Uttar Pradesh,Chandauli,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
633,UP,Uttar Pradesh,UP_Uttar Pradesh,Chitrakoot,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
634,UP,Uttar Pradesh,UP_Uttar Pradesh,Deoria,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
635,UP,Uttar Pradesh,UP_Uttar Pradesh,Etah,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
636,UP,Uttar Pradesh,UP_Uttar Pradesh,Etawah,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
637,UP,Uttar Pradesh,UP_Uttar Pradesh,Farrukhabad,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
638,UP,Uttar Pradesh,UP_Uttar Pradesh,Fatehpur,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
639,UP,Uttar Pradesh,UP_Uttar Pradesh,Firozabad,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
640,UP,Uttar Pradesh,UP_Uttar Pradesh,Gautam Buddha Nagar,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
641,UP,Uttar Pradesh,UP_Uttar Pradesh,Ghaziabad,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
642,UP,Uttar Pradesh,UP_Uttar Pradesh,Ghazipur,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
643,UP,Uttar Pradesh,UP_Uttar Pradesh,Gonda,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
644,UP,Uttar Pradesh,UP_Uttar Pradesh,Gorakhpur,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
645,UP,Uttar Pradesh,UP_Uttar Pradesh,Hamirpur,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
646,UP,Uttar Pradesh,UP_Uttar Pradesh,Hapur,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
647,UP,Uttar Pradesh,UP_Uttar Pradesh,Hardoi,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
648,UP,Uttar Pradesh,UP_Uttar Pradesh,Hathras,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
649,UP,Uttar Pradesh,UP_Uttar Pradesh,Jalaun,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
650,UP,Uttar Pradesh,UP_Uttar Pradesh,Jaunpur,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
651,UP,Uttar Pradesh,UP_Uttar Pradesh,Jhansi,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
652,UP,Uttar Pradesh,UP_Uttar Pradesh,Kannauj,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
653,UP,Uttar Pradesh,UP_Uttar Pradesh,Kanpur Dehat,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
654,UP,Uttar Pradesh,UP_Uttar Pradesh,Kanpur Nagar,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
655,UP,Uttar Pradesh,UP_Uttar Pradesh,Kasganj,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
656,UP,Uttar Pradesh,UP_Uttar Pradesh,Kaushambi,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
657,UP,Uttar Pradesh,UP_Uttar Pradesh,Kushinagar,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
658,UP,Uttar Pradesh,UP_Uttar Pradesh,Lakhimpur Kheri,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
659,UP,Uttar Pradesh,UP_Uttar Pradesh,Lalitpur,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
660,UP,Uttar Pradesh,UP_Uttar Pradesh,Lucknow,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
661,UP,Uttar Pradesh,UP_Uttar Pradesh,Maharajganj,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
662,UP,Uttar Pradesh,UP_Uttar Pradesh,Mahoba,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
663,UP,Uttar Pradesh,UP_Uttar Pradesh,Mainpuri,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
664,UP,Uttar Pradesh,UP_Uttar Pradesh,Mathura,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
665,UP,Uttar Pradesh,UP_Uttar Pradesh,Mau,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
666,UP,Uttar Pradesh,UP_Uttar Pradesh,Meerut,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
667,UP,Uttar Pradesh,UP_Uttar Pradesh,Mirzapur,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
668,UP,Uttar Pradesh,UP_Uttar Pradesh,Moradabad,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
669,UP,Uttar Pradesh,UP_Uttar Pradesh,Muzaffarnagar,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
670,UP,Uttar Pradesh,UP_Uttar Pradesh,Pilibhit,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
671,UP,Uttar Pradesh,UP_Uttar Pradesh,Pratapgarh,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
672,UP,Uttar Pradesh,UP_Uttar Pradesh,Prayagraj,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
673,UP,Uttar Pradesh,UP_Uttar Pradesh,Rae Bareli,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
674,UP,Uttar Pradesh,UP_Uttar Pradesh,Rampur,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
675,UP,Uttar Pradesh,UP_Uttar Pradesh,Saharanpur,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
676,UP,Uttar Pradesh,UP_Uttar Pradesh,Sambhal,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
677,UP,Uttar Pradesh,UP_Uttar Pradesh,Sant Kabir Nagar,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
678,UP,Uttar Pradesh,UP_Uttar Pradesh,Shahjahanpur,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
679,UP,Uttar Pradesh,UP_Uttar Pradesh,Shamli,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
680,UP,Uttar Pradesh,UP_Uttar Pradesh,Shrawasti,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
681,UP,Uttar Pradesh,UP_Uttar Pradesh,Siddharthnagar,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
682,UP,Uttar Pradesh,UP_Uttar Pradesh,Sitapur,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
683,UP,Uttar Pradesh,UP_Uttar Pradesh,Sonbhadra,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
684,UP,Uttar Pradesh,UP_Uttar Pradesh,Sultanpur,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
685,UP,Uttar Pradesh,UP_Uttar Pradesh,Unknown,2059400.0,13945,2022056.0,23399.0,0,1233.0,-269.0,1501.0,1.0,0.0,2022-02-15 12:39:00.600243
686,UP,Uttar Pradesh,UP_Uttar Pradesh,Unnao,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
687,UP,Uttar Pradesh,UP_Uttar Pradesh,Varanasi,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
688,WB,West Bengal,WB_West Bengal,Alipurduar,18785,362,18313,110,0,13,-27,40,0,0.0,2022-02-15T00:05:28.250500+05:30
689,WB,West Bengal,WB_West Bengal,Bankura,43743,377,43080,286,0,11,-32,43,0,0.0,2022-02-15T00:05:28.250500+05:30
690,WB,West Bengal,WB_West Bengal,Birbhum,57538,515,56677,346,0,15,-43,58,0,0.0,2022-02-15T00:05:28.250500+05:30
691,WB,West Bengal,WB_West Bengal,Cooch Behar,33884,351,33428,105,0,12,-27,39,0,0.0,2022-02-15T00:05:28.250500+05:30
692,WB,West Bengal,WB_West Bengal,Dakshin Dinajpur,22969,269,22507,193,0,21,-8,29,0,0.0,2022-02-15T00:05:28.250500+05:30
693,WB,West Bengal,WB_West Bengal,Darjeeling,68865,603,67671,591,0,12,-58,69,1,0.0,2022-02-15T00:05:28.250500+05:30
694,WB,West Bengal,WB_West Bengal,Hooghly,107781,516,106149,1116,0,13,-48,59,2,0.0,2022-02-15T00:05:28.250500+05:30
695,WB,West Bengal,WB_West Bengal,Howrah,124852,450,122767,1635,0,10,-41,51,0,0.0,2022-02-15T00:05:28.250500+05:30
696,WB,West Bengal,WB_West Bengal,Jalpaiguri,49441,543,48256,642,0,25,-35,60,0,0.0,2022-02-15T00:05:28.250500+05:30
697,WB,West Bengal,WB_West Bengal,Jhargram,15512,131,15351,30,0,6,-8,14,0,0.0,2022-02-15T00:05:28.250500+05:30
698,WB,West Bengal,WB_West Bengal,Kalimpong,8483,126,8300,57,0,1,-13,14,0,0.0,2022-02-15T00:05:28.250500+05:30
699,WB,West Bengal,WB_West Bengal,Kolkata,446419,1840,438960,5619,0,34,-180,210,4,0.0,2022-02-15T00:05:28.250500+05:30
700,WB,West Bengal,WB_West Bengal,Malda,44320,433,43690,197,0,7,-42,49,0,0.0,2022-02-15T00:05:28.250500+05:30
701,WB,West Bengal,WB_West Bengal,Murshidabad,41555,281,40920,354,0,1,-31,32,0,0.0,2022-02-15T00:05:28.250500+05:30
702,WB,West Bengal,WB_West Bengal,Nadia,87411,657,85820,934,0,41,-30,71,0,0.0,2022-02-15T00:05:28.250500+05:30
703,WB,West Bengal,WB_West Bengal,North 24 Parganas,402370,1743,395319,5308,0,49,-158,198,9,0.0,2022-02-15T00:05:28.250500+05:30
704,WB,West Bengal,WB_West Bengal,Other State,66,0,63,3,0,0,0,0,0,0.0,2022-02-15T00:05:28.250500+05:30
705,WB,West Bengal,WB_West Bengal,Paschim Bardhaman,75500,385,74685,430,0,6,-40,44,2,0.0,2022-02-15T00:05:28.250500+05:30
706,WB,West Bengal,WB_West Bengal,Paschim Medinipur,62412,372,61511,529,0,5,-38,43,0,0.0,2022-02-15T00:05:28.250500+05:30
707,WB,West Bengal,WB_West Bengal,Purba Bardhaman,55287,385,54665,237,0,11,-34,44,1,0.0,2022-02-15T00:05:28.250500+05:30
708,WB,West Bengal,WB_West Bengal,Purba Medinipur,67753,205,67113,435,0,4,-22,24,2,0.0,2022-02-15T00:05:28.250500+05:30
709,WB,West Bengal,WB_West Bengal,Purulia,24176,176,23879,121,0,1,-19,20,0,0.0,2022-02-15T00:05:28.250500+05:30
710,WB,West Bengal,WB_West Bengal,South 24 Parganas,127033,698,124836,1499,0,19,-60,79,0,0.0,2022-02-15T00:05:28.250500+05:30
711,WB,West Bengal,WB_West Bengal,Uttar Dinajpur,25066,208,24595,263,0,3,-23,24,2,0.0,2022-02-15T00:05:28.250500+05:30
712,AN,Andaman and Nicobar Islands,AN_Andaman and Nicobar Islands,Nicobars,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
713,AN,Andaman and Nicobar Islands,AN_Andaman and Nicobar Islands,North and Middle Andaman,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
714,AN,Andaman and Nicobar Islands,AN_Andaman and Nicobar Islands,South Andaman,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
715,AN,Andaman and Nicobar Islands,AN_Andaman and Nicobar Islands,Unknown,9981.0,117,9735.0,129.0,0,0.0,-10.0,10.0,0.0,0.0,2022-02-15 12:39:00.600243
716,CH,Chandigarh,CH_Chandigarh,Chandigarh,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
717,CH,Chandigarh,CH_Chandigarh,Unknown,91369.0,558,89658.0,1153.0,0,31.0,-65.0,95.0,1.0,0.0,2022-02-15 12:39:00.600243
718,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
719,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Dadra and Nagar Haveli and Daman and Diu,Daman,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
720,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Dadra and Nagar Haveli and Daman and Diu,Diu,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
721,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Dadra and Nagar Haveli and Daman and Diu,Other State,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
722,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Dadra and Nagar Haveli and Daman and Diu,Unknown,11430.0,28,11398.0,4.0,0,0.0,-2.0,2.0,0.0,0.0,2022-02-15 12:39:00.600243
723,DL,Delhi,DL_Delhi,Central Delhi,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
724,DL,Delhi,DL_Delhi,East Delhi,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
725,DL,Delhi,DL_Delhi,New Delhi,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
726,DL,Delhi,DL_Delhi,North Delhi,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
727,DL,Delhi,DL_Delhi,North East Delhi,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
728,DL,Delhi,DL_Delhi,North West Delhi,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
729,DL,Delhi,DL_Delhi,Shahdara,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
730,DL,Delhi,DL_Delhi,South Delhi,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
731,DL,Delhi,DL_Delhi,South East Delhi,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
732,DL,Delhi,DL_Delhi,South West Delhi,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
733,DL,Delhi,DL_Delhi,Unknown,1851906.0,3416,1822414.0,26076.0,0,586.0,-510.0,1092.0,4.0,0.0,2022-02-15 12:39:00.600243
734,DL,Delhi,DL_Delhi,West Delhi,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
735,JK,Jammu and Kashmir,JK_Jammu and Kashmir,Anantnag,22390,176,21995,219,0,2,-84,86,0,0.0,2022-02-15 00:05:44.166448
736,JK,Jammu and Kashmir,JK_Jammu and Kashmir,Bandipora,13633,262,13253,118,0,4,-11,15,0,0.0,2022-02-15 00:05:44.166449
737,JK,Jammu and Kashmir,JK_Jammu and Kashmir,Baramulla,37501,346,36851,304,0,10,-98,108,0,0.0,2022-02-15 00:05:44.166441
738,JK,Jammu and Kashmir,JK_Jammu and Kashmir,Budgam,34715,140,34338,237,0,12,-50,62,0,0.0,2022-02-15 00:05:44.166443
739,JK,Jammu and Kashmir,JK_Jammu and Kashmir,Doda,11139,515,10480,144,0,65,-53,118,0,0.0,2022-02-15 00:05:44.166462
740,JK,Jammu and Kashmir,JK_Jammu and Kashmir,Ganderbal,13614,104,13426,84,0,0,-28,28,0,0.0,2022-02-15 00:05:44.166450
741,JK,Jammu and Kashmir,JK_Jammu and Kashmir,Jammu,75445,947,73276,1222,0,38,-97,135,0,0.0,2022-02-15 00:05:44.166457
742,JK,Jammu and Kashmir,JK_Jammu and Kashmir,Kathua,11322,122,11034,166,0,2,-13,15,0,0.0,2022-02-15 00:05:44.166464
743,JK,Jammu and Kashmir,JK_Jammu and Kashmir,Kishtwar,5829,39,5745,45,0,1,-3,4,0,0.0,2022-02-15 00:05:44.166466
744,JK,Jammu and Kashmir,JK_Jammu and Kashmir,Kulgam,16291,40,16133,118,0,5,-28,33,0,0.0,2022-02-15 00:05:44.166454
745,JK,Jammu and Kashmir,JK_Jammu and Kashmir,Kupwara,21635,287,21174,174,0,16,-6,22,0,0.0,2022-02-15 00:05:44.166446
746,JK,Jammu and Kashmir,JK_Jammu and Kashmir,Pulwama,18400,78,18121,201,0,2,-10,12,0,0.0,2022-02-15 00:05:44.166444
747,JK,Jammu and Kashmir,JK_Jammu and Kashmir,Punch,7712,66,7537,109,0,1,1,0,0,0.0,2022-02-15 00:05:44.166468
748,JK,Jammu and Kashmir,JK_Jammu and Kashmir,Rajouri,12768,53,12467,248,0,8,-10,18,0,0.0,2022-02-15 00:05:44.166461
749,JK,Jammu and Kashmir,JK_Jammu and Kashmir,Ramban,8030,172,7789,69,0,27,15,12,0,0.0,2022-02-15 00:05:44.166469
750,JK,Jammu and Kashmir,JK_Jammu and Kashmir,Reasi,8687,65,8574,48,0,14,8,6,0,0.0,2022-02-15 00:05:44.166470
751,JK,Jammu and Kashmir,JK_Jammu and Kashmir,Samba,9059,69,8865,125,0,0,0,0,0,0.0,2022-02-15 00:05:44.166465
